,index,Gender,EthnicGroup,ParentEducation,LunchType,No: of Siblings,TransportMeans,WeeklyStudyHours,MathScore,ReadingScore,WritingScore
55,80,0,group D,associate's degree,standard,0,private,5 - 10,71,71,74
56,81,0,group A,some college,standard,3,school_bus,< 5,57,69,67
57,85,0,group C,associate's degree,free/reduced,3,private,> 10,45,46,52
58,86,0,group B,some college,standard,4,private,5 - 10,81,87,94
59,87,0,group B,some high school,standard,5,school_bus,5 - 10,63,65,61
60,90,0,group D,bachelor's degree,standard,3,school_bus,< 5,64,66,62
61,91,0,group B,some college,standard,7,school_bus,5 - 10,79,67,67
62,92,0,group D,bachelor's degree,standard,1,private,5 - 10,68,74,74
63,93,0,group D,associate's degree,standard,3,school_bus,5 - 10,87,92,91
64,94,0,group B,high school,standard,3,school_bus,5 - 10,61,44,48
65,96,0,group C,some college,standard,0,school_bus,5 - 10,58,67,72
66,97,0,group D,master's degree,standard,3,private,5 - 10,87,100,100
67,99,0,group B,associate's degree,free/reduced,2,school_bus,5 - 10,52,76,70
68,100,0,group B,some high school,standard,3,school_bus,5 - 10,72,64,73
69,101,0,group D,associate's degree,free/reduced,4,school_bus,> 10,79,90,99
70,103,0,group A,associate's degree,standard,0,school_bus,5 - 10,54,53,47
71,104,0,group D,some college,standard,1,school_bus,< 5,47,56,51
72,105,0,group E,bachelor's degree,standard,3,school_bus,< 5,98,99,100
73,106,0,group C,high school,standard,4,private,5 - 10,84,77,74
74,107,0,group B,bachelor's degree,free/reduced,1,school_bus,5 - 10,72,83,79
75,108,0,group D,bachelor's degree,standard,2,private,5 - 10,75,80,77
76,109,0,group D,some high school,standard,0,private,> 10,54,64,63
77,110,0,group C,some college,standard,3,school_bus,5 - 10,55,69,65
78,111,0,group C,bachelor's degree,standard,1,school_bus,5 - 10,76,90,86
79,112,0,group B,associate's degree,standard,3,school_bus,< 5,88,87,90
80,115,0,group E,some college,standard,3,school_bus,< 5,82,79,73
81,116,0,group B,high school,standard,2,school_bus,> 10,86,94,85
82,118,0,group D,some college,standard,3,school_bus,< 5,64,76,74
83,119,0,group D,master's degree,standard,2,private,< 5,77,81,72
84,120,0,group A,bachelor's degree,standard,0,school_bus,5 - 10,52,49,52
85,121,0,group D,master's degree,standard,1,school_bus,< 5,87,84,82
86,122,0,group C,some high school,free/reduced,1,private,< 5,52,36,40
87,125,0,group D,bachelor's degree,free/reduced,1,private,> 10,76,80,76
88,127,0,group B,some high school,standard,1,private,5 - 10,51,54,41
89,128,0,group E,high school,standard,0,school_bus,< 5,67,54,54
90,129,0,group C,associate's degree,standard,1,private,5 - 10,59,66,67
91,130,0,group D,some college,standard,0,private,> 10,73,61,70
92,131,0,group D,some high school,standard,1,school_bus,5 - 10,76,72,71
93,132,0,group C,some college,free/reduced,2,private,5 - 10,60,62,65
94,133,0,group E,some college,free/reduced,1,private,< 5,41,54,54
95,134,0,group A,high school,standard,1,school_bus,5 - 10,57,43,47
96,135,0,group D,some college,standard,3,private,> 10,90,74,79
97,136,0,group C,some college,free/reduced,1,school_bus,< 5,21,38,33
98,137,0,group D,bachelor's degree,standard,1,private,< 5,65,73,79
99,138,0,group E,associate's degree,free/reduced,3,private,5 - 10,100,100,95
100,139,0,group A,some high school,standard,2,private,5 - 10,62,67,69
101,140,0,group B,associate's degree,standard,2,school_bus,< 5,57,68,64
102,143,0,group C,some college,standard,3,school_bus,< 5,69,88,88
103,144,0,group E,high school,free/reduced,1,school_bus,5 - 10,67,75,79
104,146,0,group B,associate's degree,standard,2,private,5 - 10,62,87,89
105,147,0,group D,associate's degree,free/reduced,3,school_bus,> 10,70,63,66
106,148,0,group B,associate's degree,free/reduced,2,private,5 - 10,82,78,74
107,149,0,group E,some college,free/reduced,3,school_bus,5 - 10,75,88,85
108,150,0,group B,master's degree,free/reduced,2,school_bus,5 - 10,48,53,52
109,151,0,group C,high school,standard,1,school_bus,5 - 10,52,53,49
110,152,0,group E,master's degree,standard,3,private,< 5,76,89,86
111,153,0,group C,bachelor's degree,standard,0,school_bus,5 - 10,96,100,100
112,154,0,group C,high school,free/reduced,5,private,5 - 10,53,51,51
113,155,0,group B,master's degree,free/reduced,1,private,> 10,62,79,83
114,156,0,group B,high school,standard,2,private,5 - 10,70,84,79
115,157,0,group A,high school,standard,5,school_bus,> 10,76,75,77
116,158,0,group E,some high school,standard,3,school_bus,< 5,91,86,76
117,159,0,group D,some college,standard,3,school_bus,5 - 10,76,84,78
118,160,0,group C,associate's degree,standard,2,school_bus,5 - 10,63,67,70
119,161,0,group C,bachelor's degree,free/reduced,1,school_bus,< 5,41,50,52
120,162,0,group C,master's degree,standard,1,school_bus,5 - 10,81,92,89
121,163,0,group B,high school,free/reduced,2,school_bus,< 5,44,53,56
122,165,0,group B,master's degree,free/reduced,2,school_bus,5 - 10,54,72,65
123,166,0,group D,some high school,standard,0,school_bus,5 - 10,99,100,100
124,167,0,group C,master's degree,free/reduced,2,private,< 5,60,68,75
125,168,0,group C,some college,free/reduced,1,private,5 - 10,46,64,66
126,171,0,group C,associate's degree,free/reduced,5,private,< 5,61,65,62
127,172,0,group E,high school,standard,1,school_bus,< 5,75,73,62
128,173,0,group D,some high school,standard,4,private,5 - 10,62,66,68
129,174,0,group B,some high school,free/reduced,3,school_bus,< 5,47,51,45
130,175,0,group C,bachelor's degree,standard,1,school_bus,< 5,74,86,85
131,176,0,group E,associate's degree,standard,2,school_bus,5 - 10,66,65,69
132,177,0,group D,some college,standard,2,school_bus,< 5,73,81,77
133,180,0,group C,master's degree,standard,1,school_bus,< 5,69,85,87
134,181,0,group D,associate's degree,standard,4,school_bus,< 5,60,54,52
135,183,0,group E,high school,free/reduced,7,private,> 10,56,56,52
136,185,0,group B,bachelor's degree,free/reduced,3,private,5 - 10,80,80,77
137,186,0,group C,associate's degree,standard,1,private,< 5,66,83,86
138,187,0,group D,some college,free/reduced,3,school_bus,< 5,63,79,75
139,188,0,group C,associate's degree,standard,2,school_bus,5 - 10,69,77,69
140,192,0,group E,bachelor's degree,standard,4,school_bus,5 - 10,84,62,63
141,193,0,group E,high school,standard,2,school_bus,5 - 10,83,81,77
142,194,0,group B,some college,free/reduced,1,private,< 5,73,80,76
143,196,0,group D,some high school,free/reduced,3,school_bus,< 5,77,77,77
144,197,0,group C,some college,free/reduced,3,school_bus,5 - 10,35,28,27
145,198,0,group C,high school,free/reduced,2,school_bus,5 - 10,42,62,60
146,199,0,group C,associate's degree,free/reduced,1,school_bus,5 - 10,61,51,57
147,200,0,group E,high school,standard,1,private,5 - 10,87,91,81
148,201,0,group B,some high school,standard,2,private,5 - 10,86,84,76
149,202,0,group E,associate's degree,free/reduced,3,school_bus,< 5,80,84,86
150,204,0,group B,high school,free/reduced,2,school_bus,< 5,64,75,68
151,206,0,group D,high school,standard,4,school_bus,5 - 10,57,69,75
152,207,0,group B,associate's degree,standard,0,school_bus,> 10,89,86,74
153,209,0,group D,some high school,standard,3,school_bus,5 - 10,88,81,76
154,210,0,group B,associate's degree,standard,3,school_bus,> 10,55,67,76
155,212,0,group C,some college,standard,5,school_bus,5 - 10,72,72,71
156,213,0,group D,high school,standard,0,school_bus,5 - 10,58,50,55
157,215,0,group C,some college,standard,3,school_bus,> 10,93,97,98
158,217,0,group C,associate's degree,standard,1,private,5 - 10,47,43,43
159,218,0,group B,bachelor's degree,standard,2,school_bus,5 - 10,67,86,83
160,219,0,group E,some high school,standard,3,school_bus,> 10,94,88,79
161,220,0,group C,bachelor's degree,standard,3,school_bus,> 10,85,83,85
162,221,0,group D,associate's degree,standard,1,school_bus,> 10,84,77,80
163,222,0,group D,bachelor's degree,free/reduced,2,school_bus,< 5,62,65,67
164,223,0,group D,some high school,standard,4,school_bus,< 5,62,59,72
165,224,0,group B,some college,standard,2,private,> 10,57,53,53
166,225,0,group C,associate's degree,standard,1,private,5 - 10,84,80,80
167,226,0,group D,high school,free/reduced,1,private,> 10,75,69,67
168,227,0,group E,bachelor's degree,standard,4,private,5 - 10,82,84,85
169,228,0,group E,some college,standard,2,school_bus,< 5,58,50,43
170,229,0,group D,some high school,standard,1,school_bus,< 5,74,73,69
171,230,0,group C,associate's degree,standard,3,private,< 5,82,74,69
172,231,0,group E,associate's degree,standard,2,school_bus,5 - 10,91,77,75
173,232,0,group B,high school,standard,1,private,5 - 10,58,70,68
174,233,0,group B,high school,standard,2,private,< 5,63,63,60
175,235,0,group A,some high school,standard,2,school_bus,5 - 10,47,49,49
176,236,0,group D,some college,free/reduced,4,school_bus,< 5,70,82,83
177,237,0,group B,some high school,standard,3,private,5 - 10,60,70,70
178,239,0,group D,high school,standard,0,private,5 - 10,54,52,52
179,240,0,group E,some college,standard,1,school_bus,5 - 10,62,73,70
180,241,0,group C,associate's degree,free/reduced,5,private,< 5,62,71,66
181,243,0,group C,some high school,free/reduced,1,private,> 10,65,80,78
182,244,0,group C,some college,standard,2,school_bus,5 - 10,79,79,78
183,245,0,group C,some high school,free/reduced,2,private,5 - 10,45,50,52
184,246,0,group E,high school,standard,1,private,5 - 10,99,93,90
185,247,0,group D,high school,standard,2,private,5 - 10,76,73,68
186,248,0,group D,some high school,free/reduced,1,school_bus,< 5,57,41,40
187,250,0,group D,high school,standard,3,school_bus,5 - 10,71,73,78
188,251,0,group D,associate's degree,standard,5,school_bus,> 10,93,94,99
189,253,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,69,63,61
190,255,0,group D,associate's degree,free/reduced,2,private,5 - 10,48,53,59
191,256,0,group D,some college,standard,2,private,5 - 10,65,70,71
192,257,0,group B,some college,standard,1,school_bus,< 5,85,83,74
193,258,0,group C,bachelor's degree,standard,3,school_bus,5 - 10,83,78,73
194,259,0,group C,some high school,standard,3,private,< 5,82,90,91
195,261,0,group C,some high school,free/reduced,1,school_bus,5 - 10,65,86,80
196,262,0,group B,bachelor's degree,free/reduced,2,school_bus,5 - 10,73,56,57
197,264,0,group D,bachelor's degree,free/reduced,3,school_bus,5 - 10,75,80,86
198,265,0,group D,some college,free/reduced,2,school_bus,5 - 10,67,76,76
199,267,0,group B,associate's degree,standard,3,school_bus,5 - 10,78,80,79
200,268,0,group E,associate's degree,standard,0,private,5 - 10,99,83,90
201,269,0,group B,some high school,standard,1,school_bus,< 5,64,87,80
202,272,0,group C,associate's degree,standard,2,school_bus,5 - 10,76,70,68
203,273,0,group D,some high school,standard,2,private,< 5,83,71,68
204,274,0,group C,some high school,standard,1,private,5 - 10,61,59,55
205,276,0,group D,high school,free/reduced,3,school_bus,5 - 10,80,78,82
206,277,0,group B,associate's degree,free/reduced,1,school_bus,> 10,66,61,59
207,282,0,group A,some college,free/reduced,2,private,< 5,76,75,77
208,283,0,group D,some high school,free/reduced,4,school_bus,< 5,55,53,52
209,284,0,group C,associate's degree,standard,5,school_bus,> 10,66,83,80
210,285,0,group B,associate's degree,standard,1,school_bus,5 - 10,82,77,65
211,286,0,group C,associate's degree,standard,2,school_bus,5 - 10,76,76,85
212,287,0,group A,some college,standard,7,private,5 - 10,69,67,69
213,288,0,group E,some college,standard,5,private,5 - 10,100,88,83
214,290,0,group B,associate's degree,free/reduced,3,private,> 10,56,73,70
215,292,0,group B,associate's degree,standard,2,school_bus,5 - 10,73,76,80
216,293,0,group B,bachelor's degree,standard,3,school_bus,< 5,62,58,54
217,295,0,group C,associate's degree,free/reduced,2,private,> 10,70,68,70
218,296,0,group C,high school,standard,3,private,5 - 10,73,66,66
219,297,0,group D,master's degree,standard,3,private,5 - 10,74,80,88
220,298,0,group C,associate's degree,standard,1,school_bus,5 - 10,83,72,78
221,300,0,group D,associate's degree,free/reduced,1,school_bus,< 5,55,64,63
222,302,0,group E,high school,standard,3,private,> 10,74,85,78
223,303,0,group C,some college,standard,2,private,< 5,70,80,80
224,304,0,group C,some high school,free/reduced,5,private,5 - 10,40,52,51
225,306,0,group C,some college,standard,3,school_bus,5 - 10,82,90,94
226,307,0,group C,some college,standard,1,school_bus,5 - 10,61,61,62
227,308,0,group A,some college,free/reduced,2,school_bus,> 10,29,23,19
228,309,0,group C,associate's degree,standard,5,school_bus,5 - 10,82,75,77
229,310,0,group B,some high school,standard,2,school_bus,< 5,39,54,49
230,312,0,group C,associate's degree,standard,3,private,< 5,45,36,34
231,313,0,group E,associate's degree,standard,3,school_bus,> 10,61,55,52
232,314,0,group B,associate's degree,standard,1,school_bus,5 - 10,90,78,81
233,319,0,group B,some high school,free/reduced,3,school_bus,< 5,23,37,26
234,320,0,group D,some high school,free/reduced,3,school_bus,5 - 10,35,55,60
235,321,0,group C,high school,free/reduced,1,school_bus,> 10,61,62,54
236,324,0,group D,associate's degree,standard,3,private,< 5,64,70,65
237,325,0,group D,some college,standard,2,school_bus,< 5,78,72,67
238,326,0,group C,high school,standard,4,private,5 - 10,72,80,75
239,329,0,group E,associate's degree,standard,2,private,> 10,92,76,79
240,330,0,group B,bachelor's degree,standard,0,private,5 - 10,52,65,69
241,331,0,group E,some college,standard,4,school_bus,> 10,67,57,53
242,332,0,group C,some college,standard,1,school_bus,< 5,61,76,78
243,333,0,group C,associate's degree,standard,1,private,< 5,45,57,57
244,335,0,group B,bachelor's degree,standard,3,school_bus,> 10,64,74,73
245,337,0,group C,some college,free/reduced,1,private,< 5,40,65,67
246,338,0,group D,some college,standard,1,private,< 5,77,88,87
247,339,0,group B,high school,standard,1,school_bus,5 - 10,56,61,57
248,340,0,group B,some high school,standard,3,private,5 - 10,87,85,79
249,341,0,group C,some college,standard,2,private,5 - 10,53,58,59
250,342,0,group D,some high school,free/reduced,3,school_bus,< 5,26,33,31
251,343,0,group C,some college,standard,1,school_bus,5 - 10,60,60,59
252,344,0,group A,bachelor's degree,free/reduced,2,private,> 10,51,59,62
253,346,0,group C,bachelor's degree,free/reduced,3,private,> 10,64,67,63
254,347,0,group A,some high school,free/reduced,2,private,5 - 10,44,64,58
255,348,0,group D,some high school,standard,5,school_bus,5 - 10,71,83,84
256,349,0,group E,some college,standard,3,private,5 - 10,86,78,72
257,350,0,group C,some college,free/reduced,4,school_bus,5 - 10,45,73,70
258,351,0,group D,some high school,standard,0,private,> 10,76,75,73
259,352,0,group D,some college,standard,1,private,> 10,84,98,97
260,354,0,group D,some high school,standard,2,school_bus,> 10,82,91,83
261,356,0,group A,some high school,standard,1,private,> 10,73,84,78
262,357,0,group A,bachelor's degree,standard,1,private,5 - 10,67,64,63
263,358,0,group B,associate's degree,standard,1,school_bus,5 - 10,80,86,83
264,359,0,group C,associate's degree,standard,0,private,< 5,84,98,93
265,361,0,group E,some high school,free/reduced,3,private,> 10,40,50,47
266,362,0,group A,some high school,free/reduced,5,private,5 - 10,35,41,40
267,363,0,group E,some college,standard,2,private,5 - 10,69,77,76
268,364,0,group E,bachelor's degree,standard,0,school_bus,< 5,62,71,68
269,366,0,group D,high school,standard,3,private,5 - 10,62,64,64
270,367,0,group D,master's degree,standard,1,school_bus,< 5,71,70,75
271,368,0,group E,some high school,free/reduced,0,private,5 - 10,75,68,60
272,369,0,group D,some college,standard,3,private,< 5,74,66,75
273,370,0,group E,some college,standard,3,school_bus,> 10,78,68,68
274,371,0,group C,associate's degree,standard,4,private,> 10,60,55,58
275,373,0,group B,high school,free/reduced,5,school_bus,5 - 10,48,65,61
276,374,0,group B,some high school,standard,0,school_bus,< 5,73,62,57
277,375,0,group D,some high school,standard,4,private,< 5,56,57,51
278,376,0,group C,some high school,standard,3,private,5 - 10,60,54,68
279,378,0,group A,some college,free/reduced,2,school_bus,> 10,51,66,57
280,379,0,group D,high school,standard,4,private,5 - 10,88,99,100
281,380,0,group C,high school,standard,0,school_bus,5 - 10,55,59,63
282,382,0,group B,associate's degree,standard,3,school_bus,> 10,68,66,65
283,383,0,group B,associate's degree,standard,3,school_bus,5 - 10,84,81,78
284,384,0,group D,high school,free/reduced,2,school_bus,5 - 10,52,57,56
285,385,0,group D,associate's degree,standard,5,school_bus,> 10,86,83,84
286,386,0,group D,master's degree,standard,2,private,5 - 10,72,73,78
287,390,0,group E,high school,standard,3,private,5 - 10,86,74,70
288,391,0,group C,bachelor's degree,standard,3,private,< 5,68,72,66
289,393,0,group D,some college,standard,4,private,5 - 10,70,59,63
290,394,0,group E,high school,free/reduced,3,private,5 - 10,57,56,54
291,396,0,group D,master's degree,free/reduced,0,private,> 10,47,59,68
292,400,0,group C,bachelor's degree,standard,2,school_bus,5 - 10,88,84,88
293,401,0,group C,some high school,free/reduced,0,private,5 - 10,71,72,66
294,403,0,group C,some high school,free/reduced,3,school_bus,> 10,70,63,55
295,406,0,group C,high school,standard,4,school_bus,< 5,57,54,52
296,410,0,group D,associate's degree,standard,3,school_bus,5 - 10,77,69,65
297,412,0,group C,high school,standard,0,school_bus,< 5,69,55,51
298,413,0,group D,some high school,standard,0,school_bus,5 - 10,89,88,82
299,416,0,group A,some high school,free/reduced,2,school_bus,5 - 10,59,73,69
300,418,0,group A,some high school,free/reduced,0,school_bus,5 - 10,79,82,73
301,420,0,group D,some college,free/reduced,1,school_bus,> 10,73,67,62
302,421,0,group C,high school,standard,2,school_bus,> 10,91,83,83
303,422,0,group B,high school,standard,4,school_bus,5 - 10,48,46,43
304,424,0,group C,some college,free/reduced,3,private,5 - 10,64,85,85
305,425,0,group E,some college,standard,5,school_bus,5 - 10,100,92,97
306,426,0,group C,associate's degree,free/reduced,1,school_bus,> 10,68,79,77
307,427,0,group C,some college,free/reduced,3,private,> 10,64,57,48
308,428,0,group C,associate's degree,free/reduced,3,private,5 - 10,54,61,63
309,429,0,group C,bachelor's degree,free/reduced,0,school_bus,5 - 10,37,56,47
310,430,0,group D,bachelor's degree,standard,3,school_bus,5 - 10,79,89,89
311,434,0,group C,bachelor's degree,free/reduced,1,private,< 5,52,57,55
312,435,0,group B,some college,free/reduced,1,school_bus,5 - 10,54,54,45
313,436,0,group E,some college,standard,1,private,5 - 10,68,68,74
314,437,0,group C,some college,free/reduced,4,school_bus,5 - 10,77,90,91
315,440,0,group D,associate's degree,free/reduced,1,school_bus,> 10,26,31,38
316,441,0,group A,high school,free/reduced,7,school_bus,> 10,76,69,67
317,442,0,group A,high school,free/reduced,3,private,5 - 10,79,89,87
318,444,0,group C,associate's degree,standard,1,private,5 - 10,83,85,90
319,445,0,group C,high school,standard,0,private,< 5,62,68,74
320,446,0,group C,associate's degree,standard,4,school_bus,5 - 10,68,86,84
321,447,0,group D,some high school,standard,5,private,> 10,57,66,60
322,448,0,group B,associate's degree,standard,2,private,5 - 10,90,90,91
323,450,0,group E,bachelor's degree,standard,2,school_bus,5 - 10,76,62,66
324,452,0,group D,master's degree,standard,1,private,5 - 10,53,64,70
325,453,0,group E,associate's degree,standard,4,school_bus,> 10,78,72,68
326,454,0,group B,high school,standard,1,private,5 - 10,73,71,68
327,455,0,group D,associate's degree,free/reduced,3,school_bus,5 - 10,52,59,56
328,457,0,group A,high school,standard,2,private,5 - 10,59,52,46
329,458,0,group B,associate's degree,standard,3,school_bus,< 5,48,51,54
330,460,0,group D,some college,free/reduced,3,private,5 - 10,61,47,56
331,461,0,group C,associate's degree,free/reduced,4,school_bus,5 - 10,60,75,74
332,462,0,group B,some high school,standard,1,school_bus,5 - 10,65,53,58
333,463,0,group A,associate's degree,free/reduced,5,school_bus,5 - 10,76,80,79
334,464,0,group A,associate's degree,free/reduced,1,school_bus,< 5,64,84,76
335,466,0,group C,some college,standard,1,school_bus,5 - 10,83,83,90
336,467,0,group C,bachelor's degree,standard,6,school_bus,< 5,78,86,88
337,468,0,group B,high school,standard,2,school_bus,< 5,53,63,68
338,469,0,group D,high school,standard,4,private,5 - 10,68,64,66
339,470,0,group C,some college,standard,3,school_bus,< 5,53,47,52
340,471,0,group D,some college,free/reduced,1,school_bus,5 - 10,59,78,76
341,472,0,group E,some college,standard,3,school_bus,< 5,73,69,70
342,473,0,group D,master's degree,standard,2,school_bus,5 - 10,74,80,84
343,474,0,group B,associate's degree,standard,0,private,< 5,91,85,90
344,476,0,group E,associate's degree,standard,3,school_bus,> 10,100,91,96
345,477,0,group D,master's degree,free/reduced,1,private,5 - 10,41,61,57
346,478,0,group B,some high school,standard,3,school_bus,< 5,79,80,78
347,479,0,group A,high school,standard,1,school_bus,5 - 10,70,71,67
348,481,0,group C,bachelor's degree,standard,1,private,5 - 10,88,93,89
349,484,0,group D,some high school,free/reduced,2,school_bus,< 5,61,48,52
350,485,0,group B,some high school,standard,3,private,5 - 10,55,61,63
351,486,0,group B,master's degree,free/reduced,3,school_bus,5 - 10,77,97,94
352,487,0,group C,some high school,standard,1,private,5 - 10,76,87,85
353,489,0,group E,some college,standard,1,school_bus,5 - 10,64,72,71
354,490,0,group D,some high school,standard,1,school_bus,5 - 10,67,79,79
355,491,0,group B,high school,free/reduced,5,school_bus,5 - 10,67,78,79
356,493,0,group C,associate's degree,standard,4,private,5 - 10,91,86,84
357,498,0,group C,some high school,free/reduced,4,school_bus,< 5,54,60,58
358,500,0,group D,bachelor's degree,free/reduced,2,private,< 5,28,40,46
359,501,0,group C,associate's degree,standard,1,private,5 - 10,60,72,68
360,502,0,group C,associate's degree,standard,1,private,5 - 10,68,67,73
361,503,0,group C,some high school,standard,2,private,5 - 10,45,53,51
362,504,0,group E,associate's degree,standard,2,school_bus,< 5,60,60,56
363,505,0,group E,associate's degree,standard,4,school_bus,5 - 10,79,88,94
364,506,0,group B,high school,standard,1,school_bus,> 10,75,70,69
365,507,0,group C,bachelor's degree,free/reduced,5,private,5 - 10,66,83,83
366,509,0,group D,high school,standard,1,school_bus,5 - 10,49,65,60
367,511,0,group A,associate's degree,standard,3,school_bus,> 10,99,93,87
368,512,0,group C,high school,standard,1,private,5 - 10,75,69,68
369,515,0,group D,associate's degree,standard,2,private,> 10,86,97,93
370,517,0,group E,some high school,free/reduced,1,school_bus,5 - 10,80,84,82
371,518,0,group A,some high school,standard,3,school_bus,5 - 10,92,100,97
372,519,0,group C,high school,standard,2,private,< 5,71,66,64
373,520,0,group C,high school,free/reduced,5,school_bus,< 5,61,66,64
374,521,0,group C,master's degree,standard,1,school_bus,< 5,77,72,69
375,523,0,group B,bachelor's degree,free/reduced,2,private,5 - 10,89,91,90
376,525,0,group D,some college,free/reduced,2,private,5 - 10,79,62,65
377,526,0,group E,associate's degree,standard,1,private,> 10,56,46,41
378,528,0,group C,master's degree,free/reduced,1,school_bus,5 - 10,63,69,69
379,529,0,group B,associate's degree,free/reduced,2,school_bus,< 5,51,68,68
380,530,0,group D,some high school,standard,2,school_bus,> 10,75,66,63
381,532,0,group C,some college,standard,3,school_bus,> 10,66,76,77
382,533,0,group C,bachelor's degree,standard,2,school_bus,< 5,95,89,92
383,535,0,group B,bachelor's degree,free/reduced,1,school_bus,< 5,46,50,45
384,536,0,group B,associate's degree,standard,2,school_bus,< 5,46,42,44
385,537,0,group E,bachelor's degree,free/reduced,4,private,5 - 10,89,98,97
386,539,0,group B,high school,free/reduced,6,private,< 5,62,47,47
387,542,0,group A,bachelor's degree,standard,1,school_bus,5 - 10,88,94,89
388,543,0,group C,some college,standard,5,private,> 10,54,62,57
389,544,0,group C,high school,free/reduced,1,school_bus,5 - 10,50,66,64
390,546,0,group A,associate's degree,free/reduced,7,school_bus,5 - 10,40,55,53
391,547,0,group A,some college,standard,0,school_bus,5 - 10,61,51,52
392,548,0,group B,high school,standard,1,school_bus,< 5,78,89,87
393,549,0,group B,some college,free/reduced,1,school_bus,> 10,49,56,59
394,550,0,group D,master's degree,standard,3,school_bus,< 5,52,60,68
395,551,0,group D,some high school,standard,2,school_bus,< 5,78,95,94
396,552,0,group E,some high school,standard,3,school_bus,5 - 10,74,77,78
397,553,0,group D,bachelor's degree,free/reduced,1,school_bus,5 - 10,63,73,78
398,555,0,group A,high school,standard,3,school_bus,5 - 10,55,73,73
399,556,0,group C,bachelor's degree,free/reduced,1,school_bus,< 5,43,62,62
400,557,0,group C,some college,standard,1,school_bus,< 5,53,63,65
